scenario_id,clause_id,rel
ADSTAND-SOCIAL-TESTIMONIAL-001,,2
ADV-ADSTAND-SOCIAL-TESTIMONIAL-001-AMBIGUOUS-001,,2
ADV-CASL-EMAIL-CEM-001-AMBIGUOUS-001,,2
ADV-CASL-EMAIL-CEM-001-INCOMPLETE-001,,2
ADV-CASL-EMAIL-TRANSACTIONAL-002-AMBIGUOUS-001,,2
ADV-CASL-EMAIL-UNSUB-003-AMBIGUOUS-001,,2
ADV-CASL-EMAIL-UNSUB-003-INCOMPLETE-001,,2
ADV-CRTC-SMS-DNCL-001-AMBIGUOUS-001,,2
ADV-PIPEDA-WEB-PI-007-AMBIGUOUS-001,,2
ADV-QL25-LANDING-CONSENT-001-AMBIGUOUS-001,,2
CASL-EMAIL-CEM-001,,2
CASL-EMAIL-TRANSACTIONAL-002,,2
CASL-EMAIL-UNSUB-003,,2
CRTC-SMS-DNCL-001,,2
PIPEDA-WEB-PI-007,,2
QL25-LANDING-CONSENT-001,,2
